instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
American Indian OIC Inc,44.961993,American Indian OIC Inc,Takoda Institute of Higher Education,-93.246155,02514100  ,44.961993,-93.246166,02514100  ,
American Institute of Alternative Medicine,40.102442,American Institute of Alternative Medicine,AIAM,-82.988733,03534400  ,40.102442,-82.988733,03534400  ,
American Institute of Alternative Medicine,40.438155,American Institute of Alternative Medicine,AIAM,-74.392845,04234400  ,,,,
American Institute of Beauty,27.915072,American Institute of Beauty, ,-82.749094,04016500  ,27.915072,-82.749094,04016500  ,
American Institute of Healthcare & Technology,41.170738,American Institute of Healthcare & Technology,AIHT Education,-73.150918,04279000  ,,,,
American Institute of Interior Design,33.604860,American Institute of Interior Design,AIID,-111.715081,04148700  ,33.604693,-111.714860,04148700  ,
American Institute of Massage Therapy,33.714880,American Institute of Massage Therapy, ,-117.848291,03962300  ,33.715851,-117.850270,03962300  ,
American Institute of Medical Sciences & Education,40.561140,American Institute of Medical Sciences & Education,AIMS Education,-74.437251,04136400  ,40.561065,-74.436826,04136400  ,
American Institute of Medical Technology,36.098554,American Institute of Medical Technology, ,-95.856621,04060300  ,36.061988,-95.923639,04060300  ,
American Institute-Clifton,40.873516,American Institute-Clifton,American Institute,-74.130158,02106601  ,40.873434,-74.130171,02106601  ,
American Institute-Somerset,40.550890,American Institute-Somerset, ,-74.544122,02106606  ,,,,
American Institute-Toms River,40.044556,American Institute-Toms River, ,-74.220894,02106605  ,,,,
American Institute-West Hartford,41.727016,American Institute-West Hartford,American Institute,-72.725762,02106600  ,41.727016,-72.725762,02106600  ,
American InterContinental University,33.278816,American InterContinental University,AIU,-111.804036,02113600  ,42.032733,-88.033625,02113600  ,
American InterContinental University-Atlanta,33.938779,American InterContinental University-Atlanta,AIU Atlanta,-84.354907,02113613  ,33.936128,-84.355243,02113613  ,
American InterContinental University-Houston,29.728216,American InterContinental University-Houston,AIU Houston,-95.548302,02113610  ,29.728221,-95.548309,02113610  ,
American International College,42.112346,American International College,AIC,-72.558338,00211400  ,42.112708,-72.558507,00211400  ,
American Islamic College,41.954969,American Islamic College, ,-87.646898,02311300  ,,,,
American Jewish University,34.128153,American Jewish University,AJU,-118.471706,00274100  ,34.128099,-118.471764,00274100  ,
American Massage & Bodywork Institute,38.926154,American Massage & Bodywork Institute, ,-77.244736,04276300  ,,,,
American Medical Academy,25.662730,American Medical Academy, ,-80.393361,04192100  ,25.661946,-80.393891,04192100  ,
American Medical Sciences Center,34.147117,American Medical Sciences Center, ,-118.256991,04159700  ,34.146537,-118.256580,04159700  ,
American Musical and Dramatic Academy,40.772275,American Musical and Dramatic Academy, ,-73.987549,00757200  ,40.780142,-73.982249,00757200  ,
