instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Aspen University,-104.939111,39.686140,Denver,04080300  ,
Assabet Valley Regional Technical School,-71.567281,42.367750,Marlborough,02169900  ,
Associated Barber College of San Diego,-117.159908,32.719318,San Diego,04242500  ,
Associated Beth Rivkah Schools,-73.949781,40.666069,Brooklyn,02506000  ,
Associated Technical College-Los Angeles,-118.272364,34.056102,Los Angeles,00902200  ,
Associated Technical College-San Diego,-117.157988,32.715375,San Diego,02553500  ,
Assumption College,-71.828991,42.294226,Worcester,00211800  ,
Assumption College for Sisters,-74.490693,40.905857,Denville,00259500  ,
Astrodome Career Centers,-95.421747,29.679465,Houston,04152700  ,
ATA Career Education,-82.595376,28.452699,Spring Hill,04038302  ,
ATA College,-85.563365,38.223667,Louisville,04038300  ,
ATA College - Cincinnati,-84.478867,39.296710,Cincinnati,04038304  ,
Atelier Esthetique Institute of Esthetics,-73.995669,40.746376,New York,04178700  ,
Atenas College,-66.488422,18.429776,Manati,03544300  ,
Athena Career Academy,-83.665339,41.614633,Toledo,04192200  ,
Athenaeum of Ohio,-84.371927,39.082926,Cincinnati,00301300  ,
Athens State University,-86.964698,34.806793,Athens,00100800  ,
Athens Technical College,-83.339598,33.990183,Athens,00560000  ,
ATI College-Norwalk,-118.003835,33.948521,Whitter,03740400  ,
Atlanta Institute of Music and Media,-84.105311,33.961164,Duluth,03104500  ,
Atlanta Metropolitan State College,-84.404659,33.708930,Atlanta,01216500  ,
Atlanta School of Massage,-84.311332,33.922131,Atlanta,02580200  ,
Atlanta Technical College,-84.404995,33.712009,Atlanta,00854300  ,
Atlanta's John Marshall Law School,-84.387898,33.793394,Atlanta,03173300  ,
Atlantic Beauty & Spa Academy LLC,-74.613498,39.433238,Egg Harbor Township,02234600  ,
Atlantic Cape Community College,-74.680019,39.462081,Mays Landing,00259600  ,
Atlantic Institute of Oriental Medicine,-80.142235,26.121964,Fort Lauderdale,03429600  ,
Atlantic Technical College,-80.192271,26.242780,Coconut Creek,01226300  ,
Atlantic University College,-66.111714,18.357395,Guaynabo,02505400  ,
Atlantis University,-80.189420,25.788978,Miami,04233900  ,
Auburn Career Center,-81.243798,41.649238,Concord Twp,03051400  ,
Auburn University,-85.488258,32.599378,Auburn,00100900  ,
Auburn University at Montgomery,-86.177544,32.367360,Montgomery,00831000  ,
Augsburg University,-93.240436,44.966307,Minneapolis,00233400  ,
Augusta School of Massage,-82.135503,33.529159,Evans,04021300  ,
Augusta Technical College,-82.048439,33.418992,Augusta,00559900  ,
